tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender,monh
389,3/1/2020 0:14,3/1/2020 0:20,3202,Newport PATH,40.7272235,-74.0337589,3203,Hamilton Park,40.72759597,-74.04424731,42381,Subscriber,1992,1,3
242,3/1/2020 0:48,3/1/2020 0:52,3185,City Hall,40.7177325,-74.043845,3205,JC Medical Center,40.71653978,-74.04963791,42155,Subscriber,1991,1,3
124,3/1/2020 1:08,3/1/2020 1:10,3272,Jersey & 3rd,40.72333159,-74.04595256,3278,Monmouth and 6th,40.72568548,-74.04879034,42376,Subscriber,1987,0,3
104,3/1/2020 1:22,3/1/2020 1:24,3202,Newport PATH,40.7272235,-74.0337589,3638,Washington St,40.7242941,-74.0354826,42350,Subscriber,1993,1,3
228,3/1/2020 1:39,3/1/2020 1:43,3194,McGinley Square,40.72533993,-74.06762213,3280,Astor Place,40.7192822,-74.07126188,42235,Subscriber,1988,1,3
526,3/1/2020 1:50,3/1/2020 1:59,3225,Baldwin at Montgomery,40.7236589,-74.0641943,3694,Jackson Square,40.71113,-74.0789,42263,Subscriber,1969,1,3
237,3/1/2020 2:14,3/1/2020 2:18,3214,Essex Light Rail,40.7127742,-74.0364857,3185,City Hall,40.7177325,-74.043845,42122,Subscriber,1988,1,3
365,3/1/2020 2:35,3/1/2020 2:41,3273,Manila & 1st,40.72165072,-74.04288411,3269,Brunswick & 6th,40.72601173,-74.05038893,42490,Subscriber,1973,2,3
300,3/1/2020 2:46,3/1/2020 2:51,3273,Manila & 1st,40.72165072,-74.04288411,3269,Brunswick & 6th,40.72601173,-74.05038893,42312,Subscriber,1981,1,3
176,3/1/2020 3:56,3/1/2020 3:59,3275,Columbus Drive,40.7183552,-74.03891444,3273,Manila & 1st,40.72165072,-74.04288411,42524,Subscriber,1990,1,3
304,3/1/2020 4:06,3/1/2020 4:11,3202,Newport PATH,40.7272235,-74.0337589,3639,Harborside,40.7192517,-74.034234,42406,Subscriber,1981,1,3
243,3/1/2020 4:06,3/1/2020 4:10,3202,Newport PATH,40.7272235,-74.0337589,3639,Harborside,40.7192517,-74.034234,42555,Customer,1992,1,3
439,3/1/2020 4:21,3/1/2020 4:29,3272,Jersey & 3rd,40.72333159,-74.04595256,3205,JC Medical Center,40.71653978,-74.04963791,42113,Customer,1995,1,3
372,3/1/2020 4:22,3/1/2020 4:28,3272,Jersey & 3rd,40.72333159,-74.04595256,3205,JC Medical Center,40.71653978,-74.04963791,42126,Customer,1996,1,3
708,3/1/2020 6:38,3/1/2020 6:50,3678,Fairmount Ave,40.72572614,-74.07195926,3276,Marin Light Rail,40.71458404,-74.04281706,42455,Customer,1969,0,3
182,3/1/2020 7:28,3/1/2020 7:31,3209,Brunswick St,40.7241765,-74.0506564,3186,Grove St PATH,40.71958612,-74.04311746,42274,Subscriber,1980,1,3
261,3/1/2020 7:28,3/1/2020 7:33,3267,Morris Canal,40.71241882,-74.03852552,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,42603,Subscriber,1960,1,3
164,3/1/2020 7:39,3/1/2020 7:41,3276,Marin Light Rail,40.71458404,-74.04281706,3186,Grove St PATH,40.71958612,-74.04311746,42323,Subscriber,1967,1,3
193,3/1/2020 7:44,3/1/2020 7:47,3209,Brunswick St,40.7241765,-74.0506564,3211,Newark Ave,40.72152515,-74.04630454,42258,Subscriber,1981,1,3
561,3/1/2020 7:48,3/1/2020 7:57,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,3211,Newark Ave,40.72152515,-74.04630454,42606,Subscriber,1987,1,3
1192,3/1/2020 7:54,3/1/2020 8:13,3211,Newark Ave,40.72152515,-74.04630454,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,42255,Subscriber,1968,1,3
202,3/1/2020 8:06,3/1/2020 8:10,3203,Hamilton Park,40.72759597,-74.04424731,3211,Newark Ave,40.72152515,-74.04630454,42280,Subscriber,1992,2,3
588,3/1/2020 8:07,3/1/2020 8:17,3203,Hamilton Park,40.72759597,-74.04424731,3639,Harborside,40.7192517,-74.034234,42381,Subscriber,1970,2,3
172,3/1/2020 8:17,3/1/2020 8:20,3209,Brunswick St,40.7241765,-74.0506564,3186,Grove St PATH,40.71958612,-74.04311746,42545,Subscriber,1990,1,3
300,3/1/2020 8:20,3/1/2020 8:25,3209,Brunswick St,40.7241765,-74.0506564,3187,Warren St,40.7211236,-74.03805095,42541,Subscriber,1982,1,3
213,3/1/2020 8:21,3/1/2020 8:25,3211,Newark Ave,40.72152515,-74.04630454,3203,Hamilton Park,40.72759597,-74.04424731,42606,Subscriber,1992,2,3
257,3/1/2020 8:26,3/1/2020 8:30,3203,Hamilton Park,40.72759597,-74.04424731,3273,Manila & 1st,40.72165072,-74.04288411,42580,Subscriber,1988,1,3
278,3/1/2020 8:40,3/1/2020 8:45,3269,Brunswick & 6th,40.72601173,-74.05038893,3273,Manila & 1st,40.72165072,-74.04288411,42490,Subscriber,1988,2,3
242,3/1/2020 8:48,3/1/2020 8:52,3203,Hamilton Park,40.72759597,-74.04424731,3273,Manila & 1st,40.72165072,-74.04288411,42595,Subscriber,1983,1,3
319,3/1/2020 8:48,3/1/2020 8:53,3280,Astor Place,40.7192822,-74.07126188,3195,Sip Ave,40.7308971,-74.06391263,42235,Subscriber,1988,1,3
160,3/1/2020 8:49,3/1/2020 8:52,3205,JC Medical Center,40.71653978,-74.04963791,3186,Grove St PATH,40.71958612,-74.04311746,42368,Subscriber,1969,0,3
192,3/1/2020 8:51,3/1/2020 8:54,3209,Brunswick St,40.7241765,-74.0506564,3186,Grove St PATH,40.71958612,-74.04311746,42298,Subscriber,1984,1,3
290,3/1/2020 8:57,3/1/2020 9:02,3639,Harborside,40.7192517,-74.034234,3276,Marin Light Rail,40.71458404,-74.04281706,42550,Subscriber,1963,1,3
208,3/1/2020 8:59,3/1/2020 9:02,3195,Sip Ave,40.7308971,-74.06391263,3677,Glenwood Ave,40.72755147,-74.07106072,42235,Subscriber,1980,0,3
523,3/1/2020 8:59,3/1/2020 9:08,3638,Washington St,40.7242941,-74.0354826,3483,Montgomery St,40.71942,-74.05099,42247,Subscriber,1992,1,3
574,3/1/2020 9:01,3/1/2020 9:11,3196,Riverview Park,40.7443187,-74.0439909,3269,Brunswick & 6th,40.72601173,-74.05038893,42232,Subscriber,1968,1,3
315,3/1/2020 9:07,3/1/2020 9:12,3269,Brunswick & 6th,40.72601173,-74.05038893,3791,Hoboken Ave at Monmouth St,40.73520838,-74.04696375,42312,Subscriber,1983,1,3
184,3/1/2020 9:10,3/1/2020 9:13,3278,Monmouth and 6th,40.72568548,-74.04879034,3211,Newark Ave,40.72152515,-74.04630454,42227,Subscriber,1976,2,3
262,3/1/2020 9:16,3/1/2020 9:20,3638,Washington St,40.7242941,-74.0354826,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,42350,Subscriber,1991,1,3
1416,3/1/2020 9:17,3/1/2020 9:41,3677,Glenwood Ave,40.72755147,-74.07106072,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,42143,Subscriber,1989,1,3
144,3/1/2020 9:18,3/1/2020 9:20,3213,Van Vorst Park,40.71848892,-74.04772663,3186,Grove St PATH,40.71958612,-74.04311746,42270,Subscriber,1977,1,3
269,3/1/2020 9:18,3/1/2020 9:22,3269,Brunswick & 6th,40.72601173,-74.05038893,3273,Manila & 1st,40.72165072,-74.04288411,42520,Subscriber,1989,2,3
1400,3/1/2020 9:18,3/1/2020 9:41,3677,Glenwood Ave,40.72755147,-74.07106072,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,42429,Customer,1969,0,3
649,3/1/2020 9:20,3/1/2020 9:31,3681,Grand St,40.71517768,-74.03768331,3203,Hamilton Park,40.72759597,-74.04424731,42192,Subscriber,1993,1,3
567,3/1/2020 9:20,3/1/2020 9:29,3678,Fairmount Ave,40.72572614,-74.07195926,3220,5 Corners Library,40.73496102,-74.05950308,42582,Subscriber,1970,1,3
450,3/1/2020 9:22,3/1/2020 9:30,3199,Newport Pkwy,40.7287448,-74.0321082,3273,Manila & 1st,40.72165072,-74.04288411,42115,Customer,1995,2,3
113,3/1/2020 9:24,3/1/2020 9:26,3275,Columbus Drive,40.7183552,-74.03891444,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,42314,Subscriber,1994,1,3
